分类,中文,English,日本語
版本 / 章节 / 活动,全球公测日期,2026//22,2026//22
版本 / 章节 / 活动,日本游戏大赏 2024「未来期待奖」,Japan Game Awards 2024 "Future Division",日本ゲーム大賞 2024「期待度賞」
其他常见术语 / 杂项,终末地探索手册,Endfield Exploration Manual,エンドフィールド探索手帳
其他常见术语 / 杂项,终末地工业行动指南,Endfield Industries Operations Guide,終末地工業行動指南
其他常见术语 / 杂项,塔卫二探索手册,Talos-II Exploration Manual,タロII探索手帳
其他常见术语 / 杂项,源石林,Originium Forest,源石の林
其他常见术语 / 杂项,再旅者,Retracer,再旅者
其他常见术语 / 杂项,协议回收,Protocol Recovery,プロトコル回収
其他常见术语 / 杂项,自动化集成工业系统,Automated Integrated Industrial System,自動化集成工業システム
其他常见术语 / 杂项,「传送技术」,Teleport Technology,転送技術
其他常见术语 / 杂项,「塔罗」,Talos,タロス
其他常见术语 / 杂项,「灰质钉」,Lynchpin,リンチピン
其他常见术语 / 杂项,「应龙」,Yinglong | 龙形巨兽,応龍
其他常见术语 / 杂项,「岁兽」,Sui-Beast | 巨兽代理权能,歳獣
其他常见术语 / 杂项,岁兽代理人,Colossus Proxy,巨獣代理人
其他常见术语 / 杂项,祀,Si | 代理,祀 | し
其他常见术语 / 杂项,巴别塔,Babel,バベル
其他常见术语 / 杂项,普瑞赛斯之刃,Blade of Priestess,プリーステスの刃
其他常见术语 / 杂项,维什戴尔,Wisdel | 再旅者之一,ヴィシュデール
其他常见术语 / 杂项,预告家,Prophet,預言家
